Z,k_SFR_Msun_yr,k_SFR_ergs_s,fNH_10Myr,age_fNH_95_Myr,age_fNH_98_Myr,age_fNH_99
0.0004,2.05,5.36,0.9618,8.71,15.85,5.50
0.0010,2.03,5.32,0.9612,8.71,15.14,5.00
0.0040,2.34,6.13,0.9753,6.61,12.02,4.75
0.0080,2.59,6.76,0.9788,5.75,10.47,4.25
0.0190,3.21,8.39,0.9800,5.25,9.55,6.75
0.0300,3.21,8.38,0.9800,5.25,9.55,6.25
