Z,k_SFR_Msun_yr,k_SFR_ergs_s,fNH_10Myr,age_fNH_95_Myr,age_fNH_98_Myr,age_fNH_99
0.0001,0.97,2.54,0.9615,8.71,13.80,0.81
0.0004,1.23,3.21,0.9657,8.32,13.18,2.75
0.0040,1.40,3.65,0.9783,6.31,10.47,2.20
0.0080,1.54,4.02,0.9813,5.75,9.12,2.20
0.0200,1.91,5.00,0.9834,5.01,7.94,2.75
0.0500,2.68,7.00,0.9775,5.25,508.80,7.75
