Z,k_SFR_Msun_yr,k_SFR_ergs_s,fNH_10Myr,age_fNH_95_Myr,age_fNH_98_Myr,age_fNH_99
0.0004,1.23,3.21,0.9660,8.32,13.18,2.40
0.0010,1.22,3.18,0.9652,8.32,13.18,1.90
0.0040,1.40,3.65,0.9786,6.31,10.47,1.90
0.0080,1.54,4.02,0.9818,5.75,9.12,1.80
0.0190,1.91,5.00,0.9830,5.01,7.94,3.75
0.0300,1.91,4.99,0.9829,5.01,8.32,3.25
