Z,k_SFR_Msun_yr,k_SFR_ergs_s,fNH_10Myr,age_fNH_95_Myr,age_fNH_98_Myr,age_fNH_99
0.0001,1.62,4.24,0.9574,9.12,15.85,3.25
0.0004,2.05,5.36,0.9616,8.71,15.85,5.00
0.0040,2.34,6.13,0.9749,6.61,12.59,5.00
0.0080,2.59,6.76,0.9783,6.03,10.47,5.25
0.0200,3.21,8.39,0.9806,5.25,9.55,5.50
0.0500,4.47,11.68,0.9734,5.50,2600.00,9.50
